signal,ticker,entry_date,exit_date,entry_price,exit_price,return,hold_days,win
Breakout_50,MAR,2024-07-17,2024-07-25,249.0461,231.0991,-0.07206304439293887,6,False
Breakout_50,MAR,2024-09-30,2025-01-02,248.5718,277.9049,0.11800681207483277,65,True
Breakout_50,MAR,2025-02-07,2025-02-18,301.3997,280.2376,-0.07021285853351011,6,False
Breakout_50,MAR,2025-07-02,2025-08-01,275.3115,259.1027,-0.05887451236895769,21,False
Breakout_50,MAR,2025-11-06,2026-03-09,281.7884,317.12,0.12538345416699048,82,True
Breakout_100,MAR,2020-11-10,2021-01-22,112.8098,120.5775,0.06885674941110231,49,True
Breakout_100,MAR,2021-02-22,2021-04-21,133.9857,136.392,0.017959749384120594,41,True
Breakout_100,MAR,2021-09-27,2021-11-22,146.9127,150.3104,0.023127893773011277,40,True
Breakout_100,MAR,2022-02-10,2022-03-02,164.4886,161.3026,-0.019369282585129155,13,False
Breakout_100,MAR,2022-04-20,2022-05-10,181.9203,161.7646,-0.11079378165900888,14,False
Breakout_100,MAR,2023-01-26,2023-03-13,168.0003,157.7849,-0.0608058965353635,31,False
Breakout_100,MAR,2023-07-03,2023-09-20,178.5963,194.8727,0.09113526498789803,55,True
Breakout_100,MAR,2023-11-24,2024-04-16,205.2189,243.4386,0.18623890521874942,97,True
Breakout_100,MAR,2024-10-07,2025-01-02,250.4949,277.9049,0.10942365119517672,60,True
Breakout_100,MAR,2025-02-07,2025-02-18,301.3997,280.2376,-0.07021285853351011,6,False
Breakout_100,MAR,2025-11-06,2026-03-09,281.7884,317.12,0.12538345416699048,82,True
Breakout_50_noSMA,MAR,2020-05-28,2020-06-25,93.9536,80.4588,-0.14363284440637925,20,False
Breakout_50_noSMA,MAR,2020-08-28,2020-09-22,99.1032,90.0072,-0.09178316730276681,16,False
Breakout_50_noSMA,MAR,2020-11-10,2021-01-22,112.8098,120.5775,0.06885674941110231,49,True
Breakout_50_noSMA,MAR,2021-02-22,2021-04-21,133.9857,136.392,0.017959749384120594,41,True
Breakout_50_noSMA,MAR,2021-07-30,2021-08-05,140.8967,133.8317,-0.050143533349724656,4,False
Breakout_50_noSMA,MAR,2021-09-24,2021-11-22,143.64,150.3104,0.04643845283461179,41,True
Breakout_50_noSMA,MAR,2022-02-09,2022-03-02,166.0961,161.3026,-0.02885960118330333,14,False
Breakout_50_noSMA,MAR,2022-04-20,2022-05-10,181.9203,161.7646,-0.11079378165900888,14,False
Breakout_50_noSMA,MAR,2022-12-01,2022-12-19,160.4075,149.212,-0.06979420230174094,12,False
Breakout_50_noSMA,MAR,2023-01-26,2023-03-13,168.0003,157.7849,-0.0608058965353635,31,False
Breakout_50_noSMA,MAR,2023-05-03,2023-05-25,174.3652,163.5323,-0.062127509275294535,16,False
Breakout_50_noSMA,MAR,2023-07-03,2023-09-20,178.5963,194.8727,0.09113526498789803,55,True
Breakout_50_noSMA,MAR,2023-11-22,2024-04-16,204.524,243.4386,0.19026919418233934,98,True
Breakout_50_noSMA,MAR,2024-07-17,2024-07-25,249.0461,231.0991,-0.07206304439293887,6,False
Breakout_50_noSMA,MAR,2024-09-30,2025-01-02,248.5718,277.9049,0.11800681207483277,65,True
Breakout_50_noSMA,MAR,2025-02-07,2025-02-18,301.3997,280.2376,-0.07021285853351011,6,False
Breakout_50_noSMA,MAR,2025-07-02,2025-08-01,275.3115,259.1027,-0.05887451236895769,21,False
Breakout_50_noSMA,MAR,2025-11-06,2026-03-09,281.7884,317.12,0.12538345416699048,82,True
Breakout_50,MCD,2020-06-08,2020-06-25,171.5671,160.8968,-0.0621932356792142,13,False
Breakout_50,MCD,2020-08-07,2020-10-29,178.3008,189.3359,0.06189043674607797,58,True
Breakout_50,MCD,2021-03-16,2021-06-21,195.9979,206.9982,0.05612434693217727,67,True
Breakout_50,MCD,2021-07-26,2021-08-05,217.2032,211.5846,-0.025867822811986407,8,False
Breakout_50,MCD,2021-09-27,2021-10-21,222.0037,216.7424,-0.023699226641116566,18,False
Breakout_50,MCD,2021-11-02,2021-12-01,227.2018,223.0167,-0.018420258093673536,20,False
Breakout_50,MCD,2021-12-08,2022-01-18,235.9389,233.1803,-0.01169220930689574,27,False
Breakout_50,MCD,2022-07-20,2022-08-30,235.6118,234.8961,-0.003037603444902892,29,False
Breakout_50,MCD,2022-10-31,2022-12-23,251.9211,246.697,-0.020737044162036478,38,False
Breakout_50,MCD,2023-03-28,2023-05-25,255.6705,267.6146,0.04671701669709427,41,True
Breakout_50,MCD,2023-07-03,2023-08-02,279.3542,272.2904,-0.025286098709273785,21,False
Breakout_50,MCD,2023-12-04,2024-02-06,270.3945,268.4779,-0.0070880112186515465,43,False
Breakout_50,MCD,2024-08-05,2024-10-28,263.1823,289.0176,0.09816489881421386,59,True
Breakout_50,MCD,2025-02-11,2025-04-07,298.6955,285.9841,-0.04255657356892728,38,False
Breakout_50,MCD,2025-08-20,2025-09-16,308.3165,300.0137,-0.02692956062539187,18,False
Breakout_50,MCD,2025-12-15,2026-01-02,314.9407,303.5941,-0.03602779987269533,12,False
Breakout_50,MCD,2026-02-05,2026-03-19,323.2741,315.99,-0.02253230632797243,29,False
Breakout_100,MCD,2020-08-07,2020-10-29,178.3008,189.3359,0.06189043674607797,58,True
Breakout_100,MCD,2021-03-30,2021-06-21,201.8445,206.9982,0.025532925886578628,57,True
Breakout_100,MCD,2021-07-26,2021-08-05,217.2032,211.5846,-0.025867822811986407,8,False
Breakout_100,MCD,2021-09-27,2021-10-21,222.0037,216.7424,-0.023699226641116566,18,False
Breakout_100,MCD,2021-11-02,2021-12-01,227.2018,223.0167,-0.018420258093673536,20,False
Breakout_100,MCD,2021-12-08,2022-01-18,235.9389,233.1803,-0.01169220930689574,27,False
Breakout_100,MCD,2022-07-29,2022-08-30,241.9154,234.8961,-0.02901576136255779,22,False
Breakout_100,MCD,2022-10-31,2022-12-23,251.9211,246.697,-0.020737044162036478,38,False
Breakout_100,MCD,2023-04-03,2023-05-25,262.2024,267.6146,0.020641406192528855,37,True
Breakout_100,MCD,2023-07-03,2023-08-02,279.3542,272.2904,-0.025286098709273785,21,False
Breakout_100,MCD,2023-12-14,2024-02-06,279.5124,268.4779,-0.039477575448886526,35,False
Breakout_100,MCD,2024-08-20,2024-10-28,275.1486,289.0176,0.050405212511577924,48,True
Breakout_100,MCD,2025-03-10,2025-04-07,312.8525,285.9841,-0.08588208548320608,20,False
Breakout_100,MCD,2025-12-16,2026-01-02,317.3373,303.5941,-0.043307882991149294,11,False
Breakout_100,MCD,2026-02-05,2026-03-19,323.2741,315.99,-0.02253230632797243,29,False
Breakout_50_noSMA,MCD,2020-06-04,2020-06-25,168.6212,160.8968,-0.045809285675174505,15,False
Breakout_50_noSMA,MCD,2020-08-07,2020-10-29,178.3008,189.3359,0.06189043674607797,58,True
Breakout_50_noSMA,MCD,2021-03-16,2021-06-21,195.9979,206.9982,0.05612434693217727,67,True
Breakout_50_noSMA,MCD,2021-07-26,2021-08-05,217.2032,211.5846,-0.025867822811986407,8,False
Breakout_50_noSMA,MCD,2021-09-27,2021-10-21,222.0037,216.7424,-0.023699226641116566,18,False
Breakout_50_noSMA,MCD,2021-11-02,2021-12-01,227.2018,223.0167,-0.018420258093673536,20,False
Breakout_50_noSMA,MCD,2021-12-08,2022-01-18,235.9389,233.1803,-0.01169220930689574,27,False
Breakout_50_noSMA,MCD,2022-07-20,2022-08-30,235.6118,234.8961,-0.003037603444902892,29,False
Breakout_50_noSMA,MCD,2022-10-31,2022-12-23,251.9211,246.697,-0.020737044162036478,38,False
Breakout_50_noSMA,MCD,2023-03-28,2023-05-25,255.6705,267.6146,0.04671701669709427,41,True
Breakout_50_noSMA,MCD,2023-07-03,2023-08-02,279.3542,272.2904,-0.025286098709273785,21,False
Breakout_50_noSMA,MCD,2023-12-04,2024-02-06,270.3945,268.4779,-0.0070880112186515465,43,False
Breakout_50_noSMA,MCD,2024-08-05,2024-10-28,263.1823,289.0176,0.09816489881421386,59,True
Breakout_50_noSMA,MCD,2025-02-11,2025-04-07,298.6955,285.9841,-0.04255657356892728,38,False
Breakout_50_noSMA,MCD,2025-08-20,2025-09-16,308.3165,300.0137,-0.02692956062539187,18,False
Breakout_50_noSMA,MCD,2025-12-15,2026-01-02,314.9407,303.5941,-0.03602779987269533,12,False
Breakout_50_noSMA,MCD,2026-02-05,2026-03-19,323.2741,315.99,-0.02253230632797243,29,False
Breakout_50,MCHI,2020-05-19,2020-09-09,55.5447,65.0084,0.17037827076573597,78,True
Breakout_50,MCHI,2020-10-13,2020-12-15,69.6721,70.5905,0.013181284225119327,44,True
Breakout_50,MCHI,2021-01-11,2021-03-01,75.4334,79.6934,0.05647377904500228,33,True
Breakout_50,MCHI,2022-12-09,2023-02-21,45.0121,46.0365,0.022756519651941698,48,True
Breakout_50,MCHI,2023-07-31,2023-08-14,46.0968,42.2166,-0.08417648239664077,10,False
Breakout_50,MCHI,2024-04-25,2024-06-24,39.2997,41.5158,0.05639050019178771,40,True
Breakout_50,MCHI,2024-09-25,2024-11-13,44.0499,46.4401,0.05426020495643202,35,True
Breakout_50,MCHI,2025-02-13,2025-04-07,49.852,45.7922,-0.08143637546891036,36,False
Breakout_50,MCHI,2025-06-12,2025-10-13,54.4889,62.8123,0.1527534809794857,84,True
Breakout_100,MCHI,2020-06-24,2020-09-09,59.2676,65.0084,0.0968617626178292,53,True
Breakout_100,MCHI,2020-10-13,2020-12-15,69.6721,70.5905,0.013181284225119327,44,True
Breakout_100,MCHI,2021-01-11,2021-03-01,75.4334,79.6934,0.05647377904500228,33,True
Breakout_100,MCHI,2023-01-05,2023-02-21,47.4872,46.0365,-0.030550591305672392,31,False
Breakout_100,MCHI,2024-04-29,2024-06-24,40.5804,41.5158,0.02305176617684679,38,True
Breakout_100,MCHI,2024-09-27,2024-11-13,48.3791,46.4401,-0.04007946410421026,33,False
Breakout_100,MCHI,2025-03-07,2025-04-07,55.3791,45.7922,-0.17311428534290396,21,False
Breakout_100,MCHI,2025-07-23,2025-10-13,58.4555,62.8123,0.07453112466566303,57,True
Breakout_50_noSMA,MCHI,2020-05-19,2020-09-09,55.5447,65.0084,0.17037827076573597,78,True
Breakout_50_noSMA,MCHI,2020-10-13,2020-12-15,69.6721,70.5905,0.013181284225119327,44,True
Breakout_50_noSMA,MCHI,2021-01-11,2021-03-01,75.4334,79.6934,0.05647377904500228,33,True
Breakout_50_noSMA,MCHI,2022-06-27,2022-07-18,51.5855,47.789,-0.0735968394938854,14,False
Breakout_50_noSMA,MCHI,2022-12-01,2023-02-21,42.5449,46.0365,0.08206890308098935,54,True
Breakout_50_noSMA,MCHI,2023-07-31,2023-08-14,46.0968,42.2166,-0.08417648239664077,10,False
Breakout_50_noSMA,MCHI,2024-04-25,2024-06-24,39.2997,41.5158,0.05639050019178771,40,True
Breakout_50_noSMA,MCHI,2024-09-25,2024-11-13,44.0499,46.4401,0.05426020495643202,35,True
Breakout_50_noSMA,MCHI,2025-02-13,2025-04-07,49.852,45.7922,-0.08143637546891036,36,False
Breakout_50_noSMA,MCHI,2025-06-12,2025-10-13,54.4889,62.8123,0.1527534809794857,84,True
Breakout_50,MCHP,2020-05-27,2020-07-27,42.597,45.4734,0.0675263740603087,42,True
Breakout_50,MCHP,2020-09-02,2020-09-09,50.6438,45.7094,-0.09743363961044194,4,False
Breakout_50,MCHP,2020-11-06,2021-01-28,54.8208,61.5281,0.122349094409135,55,True
Breakout_50,MCHP,2021-02-12,2021-03-05,70.3788,64.9082,-0.0777303562892564,14,False
Breakout_50,MCHP,2021-08-27,2021-10-05,70.8242,67.2615,-0.05030407904689149,26,False
Breakout_50,MCHP,2021-11-08,2022-01-10,79.2415,73.4458,-0.07313977974282604,43,False
Breakout_50,MCHP,2022-08-15,2022-08-30,67.2188,60.2524,-0.1036372776171266,11,False
Breakout_50,MCHP,2022-11-11,2022-12-28,68.2934,63.3478,-0.07241671772468705,31,False
Breakout_50,MCHP,2023-02-02,2023-03-27,75.7956,73.8531,-0.02562767461801463,36,False
Breakout_50,MCHP,2023-06-14,2023-08-07,79.8304,78.0491,-0.022313242879516526,36,False
Breakout_50,MCHP,2023-11-21,2024-01-18,79.0231,80.9077,0.023849292191384208,38,True
Breakout_50,MCHP,2024-03-08,2024-04-15,88.2151,83.099,-0.057995898532382184,25,False
Breakout_50,MCHP,2024-05-21,2024-06-17,89.8583,87.0027,-0.03177962552626068,18,False
Breakout_50,MCHP,2025-06-04,2025-08-01,62.965,67.0746,0.06526813571508439,40,True
Breakout_50,MCHP,2025-12-12,2026-03-04,68.954,72.52,0.05171561872087227,54,True
Breakout_100,MCHP,2020-09-03,2020-09-09,50.8096,45.7094,-0.10037932284624573,3,False
Breakout_100,MCHP,2020-11-06,2021-01-28,54.8208,61.5281,0.122349094409135,55,True
Breakout_100,MCHP,2021-02-12,2021-03-05,70.3788,64.9082,-0.0777303562892564,14,False
Breakout_100,MCHP,2021-09-17,2021-10-05,73.707,67.2615,-0.08744847099979969,12,False
Breakout_100,MCHP,2021-11-08,2022-01-10,79.2415,73.4458,-0.07313977974282604,43,False
Breakout_100,MCHP,2022-11-14,2022-12-28,69.1122,63.3478,-0.08340658357736352,30,False
Breakout_100,MCHP,2023-02-02,2023-03-27,75.7956,73.8531,-0.02562767461801463,36,False
Breakout_100,MCHP,2023-07-03,2023-08-07,84.5959,78.0491,-0.07738945643223483,24,False
Breakout_100,MCHP,2024-05-21,2024-06-17,89.8583,87.0027,-0.03177962552626068,18,False
Breakout_100,MCHP,2025-06-05,2025-08-01,63.601,67.0746,0.054615401816973996,39,True
Breakout_100,MCHP,2026-01-07,2026-03-04,72.6323,72.52,-0.0015466467838400888,38,False
Breakout_50_noSMA,MCHP,2020-05-27,2020-07-27,42.597,45.4734,0.0675263740603087,42,True
Breakout_50_noSMA,MCHP,2020-09-02,2020-09-09,50.6438,45.7094,-0.09743363961044194,4,False
Breakout_50_noSMA,MCHP,2020-11-06,2021-01-28,54.8208,61.5281,0.122349094409135,55,True
Breakout_50_noSMA,MCHP,2021-02-12,2021-03-05,70.3788,64.9082,-0.0777303562892564,14,False
Breakout_50_noSMA,MCHP,2021-08-27,2021-10-05,70.8242,67.2615,-0.05030407904689149,26,False
Breakout_50_noSMA,MCHP,2021-11-08,2022-01-10,79.2415,73.4458,-0.07313977974282604,43,False
Breakout_50_noSMA,MCHP,2022-08-15,2022-08-30,67.2188,60.2524,-0.1036372776171266,11,False
Breakout_50_noSMA,MCHP,2022-11-11,2022-12-28,68.2934,63.3478,-0.07241671772468705,31,False
Breakout_50_noSMA,MCHP,2023-02-02,2023-03-27,75.7956,73.8531,-0.02562767461801463,36,False
Breakout_50_noSMA,MCHP,2023-06-14,2023-08-07,79.8304,78.0491,-0.022313242879516526,36,False
Breakout_50_noSMA,MCHP,2023-11-21,2024-01-18,79.0231,80.9077,0.023849292191384208,38,True
Breakout_50_noSMA,MCHP,2024-03-08,2024-04-15,88.2151,83.099,-0.057995898532382184,25,False
Breakout_50_noSMA,MCHP,2024-05-21,2024-06-17,89.8583,87.0027,-0.03177962552626068,18,False
Breakout_50_noSMA,MCHP,2025-06-04,2025-08-01,62.965,67.0746,0.06526813571508439,40,True
Breakout_50_noSMA,MCHP,2025-12-12,2026-03-04,68.954,72.52,0.05171561872087227,54,True
Breakout_50,MCO,2020-05-29,2020-08-05,253.496,262.9895,0.03745043494854183,47,True
Breakout_50,MCO,2020-09-03,2020-09-08,288.8246,265.4738,-0.0808477934566707,2,False
Breakout_50,MCO,2021-03-16,2021-09-20,286.9405,352.308,0.22780855517029042,130,True
Breakout_50,MCO,2021-10-27,2021-12-21,375.8626,376.4072,0.0014490910759583642,38,True
Breakout_50,MCO,2022-11-14,2022-12-21,297.3802,270.7115,-0.08967897215398246,26,False
Breakout_50,MCO,2023-01-13,2023-02-22,300.7127,287.5367,-0.04381581838640902,26,False
Breakout_50,MCO,2023-05-23,2023-08-04,311.3887,330.941,0.062790611979189,50,True
Breakout_50,MCO,2023-11-15,2024-02-14,343.8779,363.5097,0.05708949076108105,61,True
Breakout_50,MCO,2024-05-16,2024-10-03,403.297,465.9537,0.15536131498173789,96,True
