ticker,start_date,end_date,start_price,peak_price,duration_d,duration_td,return_pct,velocity,feat_dist_sma20,feat_dist_sma50,feat_dist_sma200,feat_rsi14,feat_bb_width,feat_bb_pos,feat_macd_hist_norm,feat_vol_spike,feat_atr_pct,feat_adx14,feat_roc5,feat_roc20,feat_trend_align,feat_sma20_slope
MA,2022-11-03,2022-12-01,302.8063,353.3736,28,19,16.7,0.59641,0.012613047784171506,-0.0023495318964052623,-0.08455522107552416,49.326149728871485,0.1962113625704949,0.5634822583634831,0.00792386117005623,0.8980274722515192,0.02926731446771965,40.882005691907786,-0.03193777853834123,0.03321862333844394,0.0,0.02384426152915764
MCHP,2022-11-03,2022-11-15,54.7046,70.7867,12,8,29.4,2.44983,-0.021838333747133506,-0.060087344450584244,-0.11128623581413072,43.14868916428152,0.13332178524941746,0.3325412907475099,0.0015148674815414237,0.9847804848125098,0.042837876417089055,18.81915525433697,-0.029066013315149353,-0.11412401527681904,0.0,-0.015148442743177504
MCO,2022-11-03,2022-11-11,247.181,301.3022,8,6,21.9,2.73692,0.021347974000076417,-0.03806992447352015,-0.14297495007112762,48.47318844011817,0.1608210190512185,0.629969103637892,0.010196100326062146,0.5881040366163609,0.0342387148340313,29.214661586876808,-0.024444510019776988,0.0021647134691686887,0.0,0.007506854643464234
META,2022-11-03,2022-11-15,88.2177,116.1684,12,8,31.68,2.64031,-0.260297610942951,-0.35757273563814707,-0.5172510098357244,23.0477021776651,0.7999397902744773,0.06009807655723063,-0.04056737249900206,0.9914583470720363,0.08997864094084128,51.20991439642689,-0.09219913113010791,-0.36068170888233686,0.0,-0.08579796258764072
MSFT,2022-11-03,2022-12-14,208.1839,250.6417,41,28,20.39,0.49742,-0.07943096384522885,-0.12040201148815718,-0.20780430347788273,34.95084914294482,0.16075923579799045,-0.03673205890188654,-0.007097017200028584,1.0894799647584954,0.04029005027690743,30.903713974492597,-0.055126794827649706,-0.13185295421700483,0.0,-0.018552652417674564
NEM,2022-11-03,2022-12-02,34.3694,44.2646,29,20,28.79,0.99278,-0.09343883067069715,-0.1041922019328176,-0.35120864924249034,31.956634130612358,0.14129874436977516,-0.22944403848346592,-0.008471516927502474,1.4057316967304214,0.036895544602593304,24.439695634011027,-0.12238738453976672,-0.15816446233725412,0.0,-0.01750041424471116
ON,2022-11-03,2022-11-11,59.19,75.05,8,6,26.8,3.34938,-0.05033895982026855,-0.09891397385992115,-0.020490457496915387,41.184552317163316,0.20706346153359625,0.24400460922824485,-0.004495327891665152,0.8216697854832513,0.058926449351829675,20.540283271307466,-0.08727833431901744,-0.15743774196855542,0.0,-0.020315937160579667
QCOM,2022-11-03,2022-11-15,95.814,116.2349,12,8,21.31,1.77609,-0.08849197595301368,-0.1446046700575044,-0.2569554280555317,33.2801360578605,0.16249700988190205,-0.09744512620032506,-0.0008286090887912663,2.720098824205545,0.049885816948344514,21.305878559438977,-0.09433294037496842,-0.17081729079867958,0.0,-0.013913281162264202
SPGI,2022-11-03,2022-12-01,300.3234,352.8943,28,19,17.5,0.62517,0.017653350810381174,-0.05206277927314946,-0.1416716006796249,46.86453712879024,0.1466676489980841,0.6182749993137074,0.009663431557619171,1.0046714828997407,0.0324050121147927,29.047347118318907,-0.03134912225390907,-0.021728841733833937,0.0,0.0004674022035273673
STLD,2022-11-03,2022-12-13,87.0131,104.91,40,27,20.57,0.5142,0.04613030904495479,0.1242427117878701,0.2054461948484294,58.34905697957201,0.35890968310986726,0.6228613841673417,0.0021248355618750906,0.5733134079190059,0.04254502483631142,47.01838305824087,-0.06073656171494568,0.1868032656554246,1.0,0.05406238265352692
