amp,vol,adx,kombination,n_trades,hit_%,payoff,profit_factor,avg_win_%,avg_loss_%,avg_hold_d,max_win_%,max_loss_%,gross_ret_%,net_ret_%,earned_%,stall_exit_%
0.05,3.0,25.0,Amp≥5% + Vol≥3.0× + ADX≥25,258,32.945736434108525,2.3621428606720714,1.1605904228735608,9.5226458392721,-4.031358982480314,18.065891472868216,68.39236239415385,-30.678159341044807,111.99979236903411,-404.0002076309659,36.04651162790697,56.201550387596896
,2.0,30.0,Vol≥2.0× + ADX≥30,1049,29.933269780743565,2.6714175630843395,1.1412586596033776,8.24407880894744,-3.0860315223162162,16.55481410867493,84.68032057285984,-30.678159341044807,320.4075771070777,-1777.5924228929225,37.27359389895138,56.530028598665396
0.03,1.5,30.0,Amp≥3% + Vol≥1.5× + ADX≥30,1252,30.75079872204473,2.532229252776756,1.1244616635744535,8.71322068935634,-3.4409288494719505,16.099041533546327,84.68032057285984,-30.678159341044807,371.3046529100103,-2132.69534708999,36.90095846645367,56.94888178913738
0.01,2.0,30.0,Amp≥1% + Vol≥2.0× + ADX≥30,963,29.906542056074763,2.6339962835512036,1.1238384143151803,8.425027256566521,-3.1985721882673803,16.33748701973001,84.68032057285984,-30.678159341044807,267.37162281067594,-1658.628377189324,36.863966770508824,57.11318795430945
0.03,2.0,30.0,Amp≥3% + Vol≥2.0× + ADX≥30,701,30.527817403708983,2.5184030157704074,1.1066493744863803,8.880035824097293,-3.5260582871327255,16.905848787446505,84.68032057285984,-30.678159341044807,183.1372805231836,-1218.8627194768164,36.947218259629096,57.48930099857347
0.05,3.0,30.0,Amp≥5% + Vol≥3.0× + ADX≥30,192,30.729166666666668,2.4796343348299588,1.0999881635711848,10.548673603795365,-4.254124672990843,17.791666666666668,68.39236239415385,-30.678159341044807,56.57316111614443,-327.4268388838555,35.9375,58.333333333333336
0.03,3.0,20.0,Amp≥3% + Vol≥3.0× + ADX≥20,342,32.45614035087719,2.262508718248738,1.0871795139636793,8.648586999938406,-3.8225651597191277,17.304093567251464,68.39236239415385,-30.678159341044807,76.98060509804452,-607.0193949019554,35.67251461988304,56.72514619883041
,3.0,20.0,Vol≥3.0× + ADX≥20,407,31.203931203931205,2.366094761500491,1.0731929811091514,8.253722825465186,-3.488331473347659,16.727272727272727,68.39236239415385,-30.678159341044807,71.48998629673399,-742.5100137032659,35.872235872235876,57.49385749385749
0.03,3.0,25.0,Amp≥3% + Vol≥3.0× + ADX≥25,297,32.323232323232325,2.235100414175425,1.0675106455763224,8.834225849709297,-3.952496180342048,17.444444444444443,68.39236239415385,-30.678159341044807,53.63394932334093,-540.3660506766591,35.01683501683502,55.892255892255896
0.01,3.0,20.0,Amp≥1% + Vol≥3.0× + ADX≥20,389,31.876606683804624,2.2767450829039504,1.065344868981471,8.208975034361037,-3.6055749482022055,16.81491002570694,68.39236239415385,-30.678159341044807,62.43554298718395,-715.5644570128161,35.47557840616967,57.326478149100254
,3.0,25.0,Vol≥3.0× + ADX≥25,357,31.092436974789916,2.3509953088594537,1.0608149564365827,8.428201787146545,-3.584950491132773,16.857142857142858,68.39236239415385,-30.678159341044807,53.632577554604055,-660.367422445396,35.57422969187675,56.582633053221286
0.01,3.0,25.0,Amp≥1% + Vol≥3.0× + ADX≥25,339,31.858407079646017,2.249675528493274,1.0517963509838686,8.381671331481076,-3.7257245435277158,16.964601769911503,68.39236239415385,-30.678159341044807,44.57813424505398,-633.421865754946,35.10324483775811,56.342182890855455
0.03,3.0,30.0,Amp≥3% + Vol≥3.0× + ADX≥30,222,31.53153153153153,2.2666913338166097,1.0438710089944914,9.443321826541295,-4.166126055919937,17.43243243243243,68.39236239415385,-30.678159341044807,27.78136735806025,-416.21863264193973,35.585585585585584,57.65765765765766
0.01,3.0,30.0,Amp≥1% + Vol≥3.0× + ADX≥30,258,31.007751937984494,2.315380865979077,1.0406206139231806,8.950112209961262,-3.8655032273390737,16.934108527131784,68.39236239415385,-30.678159341044807,27.949402330545823,-488.05059766945413,35.65891472868217,58.139534883720934
,3.0,30.0,Vol≥3.0× + ADX≥30,271,29.88929889298893,2.4004105866417875,1.0233329343051831,8.930730737260577,-3.7205013121337753,16.819188191881917,68.39236239415385,-30.678159341044807,16.49394041268939,-525.5060595873106,35.79335793357934,58.30258302583026
