ticker,entry_date,entry_price,exit_date,exit_price,shares,units,pnl_net,hold_days,entry_reason,exit_reason,return,max_high,trailing_stop_final,earned_mode,pyramid_count,atr_at_entry
AMAT,2021-03-29,121.73828825757548,2021-04-21,124.70892022839027,16,1,7.530111533036688,16,Rotation: Breakout_50 | Trend: +62.8%,ATR Stop,0.024401788569011984,139.90705589644716,123.65005199538284,True,0,5.698957832441361
EXR,2021-04-21,120.59022310982736,2021-04-27,120.67253270584116,16,1,-38.68304646377919,4,Breakout_50 | Trend: +29.4%,Rotation -> FCX (+64.3% vs +28.4%),0.0006825561301004868,122.49901335471782,116.36952349704207,False,0,2.110349806392647
ANSS,2021-04-06,62.571366081139956,2021-05-11,53.90238744790797,31,1,-308.7383376301916,25,Rotation: Breakout_50 | Trend: +53.8%,ATR Stop,-0.13854545898822812,63.424607110865,57.462451854221484,False,0,2.5544571134592347
SCHW,2021-02-19,58.488027269326416,2021-06-03,70.01389985147978,33,1,340.3537952110609,72,Breakout_50 | Trend: +48.8%,Rotation -> DVN (+82.3% vs +40.5%),0.19706379442546207,70.89669826014668,64.94950679185872,True,0,1.7066206787601652
FCX,2021-04-27,35.990937246765704,2021-06-10,38.110243568706295,55,1,76.56184770673252,31,Rotation: Breakout_50 | Trend: +64.3%,ATR Stop,0.058884443809004816,43.03975237839577,38.66341392516506,True,0,1.6719512740409357
WFC,2021-04-19,38.79903485868885,2021-06-11,40.283505454427925,51,1,35.70800038269286,38,Rotation: Breakout_50 | Trend: +50.7%,ATR Stop,0.0382605031580221,42.91380198471739,40.47744494911096,True,0,1.0472836741010727
NUE,2021-03-26,69.01487631132315,2021-06-18,87.32152850340938,28,1,472.5862613784145,58,Rotation: Breakout_50 | Trend: +44.7%,ATR Stop,0.2652566109008978,102.83422676314862,90.8521871701814,True,0,2.4147695017161874
STLD,2021-05-11,57.98021260966192,2021-06-18,53.68606926306784,34,1,-186.00087378419857,27,Breakout_50 | Trend: +68.4%,ATR Stop,-0.07406222145998986,61.89492136702651,55.2709297476084,True,0,1.9421489129205096
DVN,2021-06-03,23.649297416837094,2021-06-21,21.386446220397836,83,1,-227.81664930445834,12,Rotation: Breakout_50 | Trend: +82.3%,ATR Stop,-0.09568365421410885,24.861685463060166,21.65529952761643,False,0,0.9969989446103311
ANET,2021-06-10,22.481874465942383,2021-06-28,22.656875610351562,88,1,-24.599899291992188,12,Breakout_50 | Trend: +29.1%,Rotation -> FANG (+62.8% vs +26.0%),0.007784099349646745,23.405624389648438,21.934764862060547,True,0,0.42564732687813894
PSA,2021-06-21,242.73832221158423,2021-07-02,244.18144781700644,8,1,-28.454995156622317,9,Breakout_50 | Trend: +24.9%,Rotation -> HES (+64.7% vs +23.6%),0.005945190657469901,247.97593656237694,237.2770241707052,False,0,2.7306490204395084
HES,2021-07-02,79.51886706628595,2021-07-08,69.71728576375737,24,1,-275.2379512606858,3,Rotation: Breakout_50 | Trend: +64.7%,ATR Stop,-0.12326107833450517,80.57629506259094,72.4166480273782,False,0,3.551109519453876
FANG,2021-06-28,77.70496442438628,2021-07-15,67.63494655714531,25,1,-291.7504466810241,12,Rotation: Breakout_50 | Trend: +62.8%,ATR Stop,-0.12959297957133709,83.39883772281507,70.98155959164501,False,0,3.361702416370634
NVDA,2021-06-18,18.741067781626178,2021-07-16,18.987009407333584,105,1,-14.176129300722362,19,Breakout_50 | Trend: +34.2%,ATR Stop,0.013123138370404241,20.827291472702445,19.19914795482006,True,0,0.5402094370998486
AVB,2021-07-16,192.15395457818326,2021-08-10,193.24960563261368,10,1,-29.043489455695806,17,Breakout_50 | Trend: +27.1%,Rotation -> ALB (+48.2% vs +23.9%),0.005701943823303468,197.65766633291196,186.3860753336289,False,0,2.8839396222771803
CRWD,2021-06-18,241.1999969482422,2021-08-11,254.2050018310547,8,1,64.0400390625,37,Breakout_50 | Trend: +30.5%,Rotation -> NUE (+59.8% vs +22.1%),0.0539179313737852,272.6300048828125,241.02425003051758,True,0,8.388930184500557
TGT,2021-07-15,220.08438997520017,2021-08-19,212.8573903330202,8,1,-97.81599713743981,25,Breakout_50 | Trend: +32.1%,ATR Stop,-0.03283740224826637,231.6741090989906,219.28405524154363,True,0,2.563461277068705
ALB,2021-08-10,219.45536061841068,2021-08-20,201.9972197243423,9,1,-197.1232680466154,8,Rotation: Breakout_50 | Trend: +48.2%,ATR Stop,-0.07955212779889498,228.6851481805508,202.20501677412548,False,0,8.625171922142599
NUE,2021-08-11,113.47389378432912,2021-09-09,104.53965466454906,17,1,-191.882065036261,20,Rotation: Breakout_50 | Trend: +59.8%,ATR Stop,-0.07873387280391264,119.87675550548471,105.42379251456497,False,0,4.025050634882079
EXR,2021-07-08,141.12251800342568,2021-09-20,149.0016769386734,14,1,70.30822509346802,51,Breakout_50 | Trend: +35.4%,ATR Stop,0.055832046130699364,161.17529781719176,151.97275434012067,True,0,2.7245183843158896
PSA,2021-08-19,259.58621350251974,2021-09-20,253.25811840876588,7,1,-84.29666565627701,21,Breakout_50 | Trend: +24.3%,ATR Stop,-0.024377623943778626,269.94799049547834,255.5302872652735,True,0,3.951955107948233
ISRG,2021-08-20,352.1199951171875,2021-09-21,340.28668212890625,5,1,-99.16656494140625,21,Breakout_50 | Trend: +28.4%,ATR Stop,-0.03360591034980298,362.336669921875,338.8238002232143,False,0,6.648097446986607
EW,2021-09-09,122.87999725341797,2021-09-21,118.94999694824219,16,1,-102.8800048828125,8,Breakout_50 | Trend: +29.8%,ATR Stop,-0.031982425073389775,123.0,118.53856658935547,False,0,2.17071533203125
ETSY,2021-09-20,219.4949951171875,2021-09-24,222.0850067138672,9,1,-16.689895629882812,4,Breakout_50 | Trend: +16.0%,Rotation -> DVN (+40.5% vs +13.6%),0.011799866303543238,225.47000122070312,205.76056780133928,False,0,6.867213657924107
FTNT,2021-06-11,51.83048100789388,2021-09-29,58.25,75,2,421.463924407959,76,Breakout_50 | Trend: +46.1%,ATR Stop,0.12385605665377519,64.4000015258789,58.87000370025635,True,1,0.9524290902273995
MPWR,2021-09-23,490.5290461927365,2021-10-04,464.12408810971357,4,1,-145.61983233209162,7,Breakout_50 | Trend: +32.9%,ATR Stop,-0.053829550539292614,503.7983242459182,468.5197727706344,False,0,11.004636711051035
SLB,2021-09-29,28.012532322427752,2021-10-08,28.40159353817965,70,1,-12.76571489736714,7,Breakout_50 | Trend: +10.7%,Rotation -> MRVL (+23.9% vs +10.0%),0.013888827017627392,28.673034915876013,25.828091908347574,False,0,1.0922202070400893
TMO,2021-09-20,585.3170474387853,2021-10-21,603.3300401857384,3,1,14.038978240859478,23,Breakout_50 | Trend: +21.4%,Rotation -> FTNT (+44.9% vs +19.8%),0.030774761859019728,609.2554151734356,559.0948547092631,False,0,13.111096364761051
MRVL,2021-10-08,64.31238939262562,2021-11-01,67.48675508268897,30,1,55.23097070190062,16,Rotation: Breakout_50 | Trend: +23.9%,Rotation -> TSLA (+55.4% vs +26.7%),0.04935854071108947,67.89948577790983,59.70006375791478,False,0,2.3061628173554163
COP,2021-09-29,57.44178948439692,2021-11-05,63.70827658290502,34,1,173.06056134927542,27,Breakout_50 | Trend: +28.8%,Rotation -> NVDA (+67.5% vs +29.5%),0.10909282518453378,66.23260825866244,61.46793019540667,True,0,1.7223676850053502
TSLA,2021-11-01,381.6666564941406,2021-11-10,336.8033447265625,5,1,-264.3165588378906,7,Rotation: Breakout_50 | Trend: +55.4%,ATR Stop,-0.11754579815715938,414.4966735839844,355.2914123535156,True,0,13.1876220703125
FANG,2021-10-04,82.17214201602239,2021-11-22,84.05708153959347,24,1,5.238548565705855,35,Breakout_50 | Trend: +31.8%,ATR Stop,0.022938911866305478,96.30110702840035,84.7410469497371,True,0,3.53486833127356
ZS,2021-11-10,348.2699890136719,2021-11-24,334.7699890136719,5,1,-107.5,10,Breakout_50 | Trend: +55.6%,ATR Stop,-0.03876302990743785,376.1099853515625,339.08821868896484,True,0,8.312353951590401
GWW,2021-11-24,477.43103737539053,2021-11-26,471.7269228230894,4,1,-62.816458209204484,1,Breakout_50 | Trend: +16.2%,Rotation -> COST (+33.6% vs +16.1%),-0.011947515150373733,480.3453961929496,461.14226837519635,False,0,8.144384500097077
FTNT,2021-10-21,66.76799774169922,2021-12-02,61.051998138427734,29,1,-205.76398849487305,29,Rotation: Breakout_50 | Trend: +44.9%,ATR Stop,-0.0856098699467458,71.06999969482422,63.20856966291155,True,0,1.7797140393938338
ENPH,2021-11-22,269.1600036621094,2021-12-02,237.0,7,1,-265.1200256347656,7,Breakout_50 | Trend: +58.3%,ATR Stop,-0.1194828474682349,282.4599914550781,245.7414311000279,False,0,11.709286281040736
COST,2021-11-26,523.2234929365306,2021-12-02,493.6705132661105,3,1,-128.65893901126043,4,Rotation: Breakout_50 | Trend: +33.6%,ATR Stop,-0.0564825166862396,533.9155370641741,506.68561332457136,False,0,8.268939805979642
TLT,2021-12-02,131.1718658611262,2021-12-06,132.13249161551272,15,1,-25.59061368420231,2,Breakout_50 | Trend: +6.7%,Rotation -> MRVL (+47.7% vs +8.0%),0.0073234130511152795,133.05023956300488,127.62358284842965,False,0,1.774141506348281
ANSS,2021-12-02,65.02755342866791,2021-12-13,67.37874233033992,30,1,30.5356670501601,7,Breakout_50 | Trend: +15.0%,Rotation -> F (+49.1% vs +16.3%),0.03615681011667071,68.55576273621512,61.13530547717966,False,0,1.9461239757441287
NVDA,2021-11-05,30.123317473930538,2021-12-14,27.643949113929793,65,1,-201.1589434000484,26,Rotation: Breakout_50 | Trend: +67.5%,ATR Stop,-0.08230728113350905,34.573911251550705,28.65461572681548,True,0,1.0189168814140397
LRCX,2021-12-02,65.02755342866791,2021-12-16,66.97497022579637,30,1,18.42250391385363,10,Breakout_50 | Trend: +15.0%,Rotation -> ANET (+48.7% vs +14.8%),0.02994756367798268,68.55576273621512,61.13529966299104,False,0,1.94612688283844
ANET,2021-12-16,34.907501220703125,2021-12-17,32.75,56,1,-160.820068359375,1,Rotation: Breakout_50 | Trend: +48.7%,ATR Stop,-0.06180623491387416,35.13174819946289,32.853752681187224,False,0,1.026874269757952
DVN,2021-09-24,25.921485943827065,2021-12-21,31.76389482857257,76,1,404.02307524065844,61,Rotation: Breakout_50 | Trend: +40.5%,ATR Stop,0.22538865624471716,36.45009252875724,31.613812193779623,True,0,1.170652911707356
PFE,2021-12-17,47.99236757382624,2022-01-05,44.71706170682127,41,1,-174.28754054720395,12,Breakout_50 | Trend: +45.3%,ATR Stop,-0.06824639067798854,49.41780157550003,43.97345950345383,False,0,2.009454035186206
PLD,2021-12-14,141.2448496224717,2022-01-06,138.4913476186552,14,1,-78.5490280534309,16,Breakout_50 | Trend: +28.3%,ATR Stop,-0.019494530322176185,149.48766116360522,139.72957275698963,True,0,3.270036373125194
MRVL,2021-12-06,82.0710323034462,2022-01-10,79.76928121544745,24,1,-95.24202611197006,24,Rotation: Breakout_50 | Trend: +47.7%,ATR Stop,-0.028045840577322734,92.23286613898601,81.96538686765098,True,0,3.6432626913983364
CVS,2022-01-06,90.34095699447862,2022-01-13,90.2380636438117,21,1,-42.16076036400527,5,Breakout_50 | Trend: +23.9%,Rotation -> APA (+46.3% vs +22.8%),-0.0011389446613147003,91.96137329937186,87.86193952928198,False,0,1.23950873259832
AVGO,2021-12-21,59.909187361475304,2022-01-14,55.072817180360275,33,1,-199.60021597679597,17,Breakout_50 | Trend: +31.5%,ATR Stop,-0.08072835560151603,62.650906385012426,55.94937411894749,False,0,1.9799066212639076
F,2021-12-13,16.023485973239747,2022-01-21,16.000852584150206,123,1,-42.783906858013644,27,Rotation: Breakout_50 | Trend: +49.1%,ATR Stop,-0.0014125134273117457,19.51636350382634,16.759026232673875,True,0,0.7032100160723357
MDLZ,2022-01-24,61.28429434942801,2022-01-31,59.18521557785571,32,1,-107.17052069031365,5,Breakout_50 | Trend: +10.8%,ATR Stop,-0.034251496143593796,61.55226512870357,59.35875428948497,False,0,0.9627700299715188
CVS,2022-01-31,93.28037056243053,2022-02-15,89.52226308869852,21,1,-118.92025694837223,11,Breakout_50 | Trend: +25.0%,ATR Stop,-0.0402882991466762,95.8920777657157,89.27858018558138,False,0,2.000895188424578
PM,2022-02-15,89.56304636121435,2022-02-17,90.66060023074506,22,1,-15.8538148703243,2,Breakout_50 | Trend: +13.7%,Rotation -> SLB (+31.9% vs +15.9%),0.01225453927844522,91.70896103203233,86.71860499722159,False,0,1.4222206819963807
