ticker,trough_date,peak_date,wait_days,decision_date,rem_ret_pct,rest_dd_pct,rem_tq,total_ret,dist_sma200_dec,atr_pct_dec,snap_atr_pct,delta_atr_pct,snap_bb_width,delta_bb_width,snap_dist_sma200,delta_dist_sma200,snap_rsi14,delta_rsi14,snap_vol_spike,delta_vol_spike,snap_dist_sma50,delta_dist_sma50,snap_dist_sma20,delta_dist_sma20,snap_macd_hist_norm,delta_macd_hist_norm,wait_days_key
GILD,2026-01-05,2026-02-11,2,2026-01-07,25.29,3.46,7.3187,31.7,0.1041,0.0207,0.020696183849900317,-0.0010222041621849969,0.07608315667529181,-0.0036589146997705324,0.10406198223785693,0.051983232292623485,54.73998173374147,16.26791573237343,0.955672068636797,-0.07712868317395327,0.017095968498205865,0.04859500204608297,0.01802222054451267,0.04758708708820881,-0.001130069941650754,0.0019731631130545492,2
GIS,2022-03-11,2022-04-21,2,2022-03-15,16.51,1.37,12.0106,18.4,0.0165,0.0277,0.027654859529964156,-0.0006435485246104079,0.13260780506404854,0.014716944883068406,0.016452194721293223,0.015925927955715482,37.22982909884719,5.8798168502931105,0.8222697176521677,-0.09064510278596938,-0.06237718798873007,0.017032821653862648,-0.043067957177307326,0.022227713955908668,-0.007799657155869959,0.0010865999171634656,2
GIS,2022-06-17,2022-08-24,2,2022-06-22,16.36,4.36,3.7554,19.3,0.0383,0.022,0.021986138171288482,-0.0008779238111625877,0.06895494806375578,-0.004185083122815389,0.03827653225212557,0.023775850503898976,47.17360327380182,10.436208183629695,1.2414933326932078,-0.374323782288454,-0.02881245475288558,0.025014969097777,-0.0054998576418137735,0.023563760303332133,-0.0004251316625838593,0.0032474845338059805,2
GIS,2023-02-15,2023-05-12,2,2023-02-17,18.76,3.04,6.177,21.39,0.0074,0.0185,0.018478206877664802,7.663348279522697e-05,0.0571267137525487,0.0005079279234576697,0.007435850108332261,0.020776696851246543,45.37996269765112,9.563090176016374,1.095010843598974,0.4820025924499728,-0.052742226982185926,0.024744707282486685,0.001964315943722605,0.023600088737354807,0.00227183399184775,0.0016493804344513766,2
GLD,2020-03-19,2020-08-06,2,2020-03-23,32.53,4.03,8.0661,40.46,0.0365,0.0318,0.03181817281063238,-0.0010967113044112672,0.1757387624757036,-0.00367052938909207,0.03650843045830038,0.057304499473078065,47.501427577782,17.279559518397214,1.1568329064367118,0.29617439145889257,-0.017093017264398123,0.05630113790621769,-0.021267176600953695,0.06272866689831166,-0.008712400932768122,0.005637608670279036,2
GLD,2024-06-07,2024-10-30,2,2024-06-11,20.24,4.36,4.6398,21.69,0.1054,0.0139,0.013935492468588046,-0.00036710311399058664,0.0662176602541744,0.003961143586627733,0.10543464068342445,0.011130806196165105,46.22455372647943,4.718932184473466,0.6622112407716123,-1.2687833835227769,-0.012128497266757778,0.010487115141379542,-0.017313484273789193,0.013320474240901617,-0.0034014189052762565,-8.90660975892397e-05,2
GLD,2024-11-15,2025-04-02,2,2024-11-19,18.46,4.66,3.9601,21.8,0.0964,0.0145,0.014547063222349417,0.00030602714490814836,0.11194208179389621,-0.00046751291052339605,0.0964227768359235,0.027413424701700065,46.66172954387513,13.57653529081616,0.8591230653212195,-0.0811046270538488,-0.008576172042570352,0.025560354373514053,-0.01859722694126815,0.030860398357659493,-0.005622650669723297,0.003986716339232599,2
GLD,2025-04-07,2025-04-21,2,2025-04-09,10.59,0.57,18.5523,15.3,0.1577,0.016,0.016003747609737003,0.0022352379343581804,0.06516286368648906,-0.015030416583551767,0.15774042573761804,0.044460989883833055,60.23490739521835,15.804625745445989,2.070417495224728,0.2899641884149682,0.04877708325938036,0.038997698372358364,0.017089310768681244,0.03791175349944166,-0.002994440947873244,0.00020785856892098714,2
GLD,2025-05-14,2025-10-20,2,2025-05-16,37.01,4.85,7.6368,37.52,0.1435,0.0211,0.021071232102511377,-0.0006623849801106856,0.08871042462350151,0.008378326829735619,0.14351911688041114,0.0008835693534479661,46.223564989642774,1.199166614148453,1.0698267051330244,-0.0013066962289967066,0.009852756539098926,-5.131375634464218e-05,-0.03289424861439623,0.0069438129710835544,-0.00809288040825517,-0.0002980680991077839,2
GLD,2025-11-04,2026-01-29,2,2025-11-06,35.47,4.9,7.2345,36.87,0.1835,0.0233,0.023324958364334354,-0.002859461013196299,0.12400692463677186,0.00026224137187998153,0.18345952480858838,0.007847223545752458,49.56556432409235,2.907836434020119,0.30956641116165906,-0.1598405405974323,0.028785321672374388,0.004332108651979638,-0.025259832811016084,0.01064620745607784,-0.008034604652255053,0.0016563845046270002,2
GM,2020-09-29,2020-10-22,2,2020-10-01,23.14,1.81,12.7932,30.17,0.0851,0.0397,0.039734805365444034,-0.002441386717947913,0.15099154591985423,-0.008749118107634984,0.08505796952282327,0.06057335151751517,53.84634071780722,10.353756424699966,0.9075556788173301,0.4584124522548112,0.050811019586514704,0.05152736460922559,0.00024683851127415337,0.05520969626340495,-0.0070677674974313565,0.0061466370924362435,2
GM,2020-10-28,2020-11-24,2,2020-10-30,34.55,4.28,8.0643,36.29,0.2434,0.0388,0.03878612484059108,0.002495647566522513,0.23456832262800345,-0.023905415255865786,0.24339480030846192,0.01593842757779451,57.15830302641094,1.2886382211036889,0.9185098277530618,-0.14645978924013792,0.09385693981233117,0.006102549821682998,0.027189437262664744,-2.014759466039892e-05,-0.0014817260762904694,-0.004732519967914058,2
GM,2021-01-04,2021-01-20,2,2021-01-06,29.97,3.03,9.8988,37.89,0.4156,0.0287,0.028684446954145543,0.0018127671628181442,0.08899398332855374,-0.028865794706901995,0.41557114660336913,0.07051940930981326,56.88187425266171,14.092944938778132,1.668714426153087,0.41909581576645105,0.04615942256641437,0.055103671761743085,0.02484614267926578,0.06356094197193608,-0.0020248302936645025,0.004863347234479306,2
GM,2021-02-25,2021-03-17,2,2021-03-01,14.29,4.21,3.3923,18.68,0.467,0.0334,0.033362347037411526,-0.001646130655588246,0.122983566579274,-0.013119142509429693,0.4670239797484398,0.04226401126636775,52.79302489598863,6.7695200378426605,0.7081743405154359,-0.177118162764355,0.07091166764222781,0.030812453676727254,-0.011923193030685161,0.03455635555345362,-0.009885314116888179,0.003209602762576775,2
GM,2021-05-12,2021-06-08,2,2021-05-14,14.14,0.95,14.954,18.9,0.2716,0.0328,0.03279339110238931,-0.0002636059865924953,0.1036077323491009,0.0006418121166117813,0.2716290592111211,0.04271953953433133,46.67985689459328,8.288191658345347,0.7008297147338715,-0.4946144411439849,-0.028128713707585837,0.03689527265528085,-0.017655870366972005,0.04481963020628288,-0.005725758328154491,0.0007742652159023495,2
GM,2024-01-18,2024-04-01,2,2024-01-22,28.92,4.34,6.6597,31.68,0.0498,0.0263,0.02627004055816901,0.001833929196293091,0.06145847975075854,-0.00013973221708287603,0.0497585114444946,0.022082787789675016,53.3229785243761,5.993996014143981,0.9572475092080754,-0.4906428576043309,0.0730282204955647,0.013809813506037945,-0.013242415026716343,0.021361639335917074,-0.008576936745490649,0.0021862508895609065,2
GM,2024-08-05,2024-08-30,2,2024-08-07,22.46,1.13,19.9299,24.61,0.0239,0.0408,0.04081884885807065,-0.00035763436545688254,0.33729670122545813,0.040141690788837614,0.023929516762692955,0.014715762466052997,28.641608394939993,4.7666526534978,0.6542586769142156,-0.7730845814423115,-0.1170923054471813,0.01759020700257627,-0.1095193485829582,0.026248376235069787,-0.017530396307268176,0.002399584368037354,2
