ticker,slot,entry_date,exit_date,entry_price,exit_price,shares,pnl_€,ret_%,hold_d,earned_mode,earned_date,pyramid_count,max_unreal_%,exit_reason,exit_type,is_rotation,partial_exit_date,partial_exit_px,partial_exit_ret,setup
NEM,1,2022-02-18,2022-03-01,59.58,59.17,92,-78.22,-1.42,6,False,,0,1.25,Rotation,Full,True,,,,B
CVX,2,2022-02-28,2022-03-10,118.59,143.69,23,547.39,20.0,8,True,2022-03-01,0,22.45,Partial_50,Partial_50,False,,,,B
DVN,1,2022-03-01,2022-03-15,48.92,41.85,114,-846.06,-15.12,10,False,,0,0.95,ATR,Full,False,,,,B
REGN,1,2022-03-15,2022-03-23,655.83,688.39,4,100.24,3.81,6,True,2022-03-21,0,4.99,Partial_50,Partial_50,False,,,,B
CVX,2,2022-02-28,2022-04-25,118.59,132.61,24,306.18,10.72,39,True,2022-03-01,0,24.86,ATR,Runner,False,2022-03-10,143.68856154570173,20.0,B
REGN,1,2022-03-15,2022-04-25,655.83,680.11,4,67.1,2.55,28,True,2022-03-21,0,11.9,ATR,Runner,False,2022-03-23,688.3894139867273,3.81,B
XOM,2,2022-05-05,2022-05-10,80.2,74.62,71,-435.96,-7.63,3,False,,0,0.0,ATR,Full,False,,,,B
CPB,1,2022-04-29,2022-05-19,41.14,39.22,139,-306.63,-5.34,14,True,2022-05-06,0,6.97,ATR,Full,False,,,,B
MCD,2,2022-07-27,2022-07-28,234.71,237.47,22,20.56,0.4,1,False,,0,1.21,Rotation,Full,True,,,,B
TMUS,2,2022-07-28,2022-09-08,136.01,140.19,39,123.12,2.31,29,False,,0,3.97,Rotation,Full,True,,,,B
GIS,1,2022-06-30,2022-09-14,63.38,63.92,84,5.23,0.1,52,True,2022-08-09,0,6.77,ATR,Full,False,,,,B
ENPH,2,2022-09-08,2022-09-23,315.0,279.03,17,-651.49,-12.12,11,False,,0,1.78,ATR,Full,False,,,,B
GIS,1,2022-09-22,2022-10-03,69.17,66.47,78,-250.59,-4.63,7,False,,0,0.74,ATR,Full,False,,,,B
VRTX,1,2022-10-25,2022-10-28,312.0,302.0,15,-190.0,-4.04,3,False,,0,0.0,ATR,Full,False,,,,B
TMUS,1,2022-10-31,2022-12-01,144.22,146.4,33,31.71,0.66,22,False,,0,1.52,Rotation,Full,True,,,,B
GIS,1,2022-12-01,2023-01-09,74.04,74.51,65,-9.58,-0.2,25,False,,0,2.71,Rotation,Full,True,,,,B
LLY,2,2022-09-29,2023-01-10,324.68,340.24,14,177.82,3.89,70,True,2022-10-26,0,12.53,ATR,Full,False,,,,B
SYK,2,2023-01-10,2023-01-31,252.84,241.3,19,-259.21,-5.37,14,False,,0,1.08,ATR,Full,False,,,,B
SBUX,1,2023-01-09,2023-02-06,98.41,96.09,49,-154.08,-3.18,19,True,2023-02-01,0,3.26,ATR,Full,False,,,,B
FTV,1,2023-02-06,2023-02-07,50.94,51.04,92,-30.43,-0.65,1,False,,0,0.58,Rotation,Full,True,,,,B
AME,1,2023-02-07,2023-02-08,142.73,143.47,32,-16.51,-0.36,1,False,,0,0.64,Rotation,Full,True,,,,B
ITW,2,2023-02-01,2023-02-22,218.72,217.08,22,-76.09,-1.57,14,True,2023-02-02,0,6.16,ATR,Full,False,,,,B
DD,1,2023-02-08,2023-02-22,30.28,28.66,154,-290.68,-6.21,9,False,,0,0.0,ATR,Full,False,,,,B
CRM,2,2023-03-03,2023-03-09,185.35,180.45,24,-157.55,-3.53,4,False,,0,0.0,Rotation,Full,True,,,,B
LIN,1,2023-02-27,2023-03-10,331.81,331.76,13,-40.75,-0.94,9,False,,0,4.66,Rotation,Full,True,,,,B
ANET,2,2023-03-09,2023-03-23,37.2,42.08,60,262.95,11.73,10,True,2023-03-16,0,12.96,Partial_50,Partial_50,False,,,,B
ANET,2,2023-03-09,2023-04-21,37.2,38.86,60,69.6,3.1,30,True,2023-03-16,0,13.85,ATR,Runner,False,2023-03-23,42.08000183105469,11.73,B
CL,2,2023-04-21,2023-04-24,71.9,71.53,64,-63.85,-1.38,1,False,,0,0.0,Rotation,Full,True,,,,B
GE,1,2023-03-10,2023-04-27,72.19,76.22,61,205.35,4.64,33,True,2023-04-03,0,8.98,ATR,Full,False,,,,B
PG,2,2023-04-24,2023-04-28,144.68,145.67,31,-9.37,-0.21,4,False,,0,0.81,Rotation,Full,True,,,,B
META,2,2023-04-28,2023-06-06,237.15,268.04,9,248.52,11.59,26,True,2023-05-22,0,14.06,Partial_50,Partial_50,False,,,,B
MSFT,1,2023-04-27,2023-07-27,289.12,333.33,16,667.32,14.36,62,True,2023-05-05,0,21.73,ATR,Full,False,,,,B
GOOGL,1,2023-07-27,2023-07-28,130.59,129.71,39,-74.43,-1.46,1,False,,0,0.0,Rotation,Full,True,,,,B
ANSS,1,2023-07-28,2023-08-14,69.19,63.42,73,-461.64,-9.1,11,False,,0,1.54,ATR,Full,False,,,,B
META,2,2023-04-28,2023-08-17,237.15,290.77,10,505.67,21.23,76,True,2023-05-22,0,36.18,ATR,Runner,False,2023-06-06,268.0366525332248,11.59,B
OXY,1,2023-08-14,2023-08-17,62.44,60.34,78,-203.47,-4.16,3,False,,0,0.0,Rotation,Full,True,,,,B
PGR,1,2023-08-17,2023-08-21,124.85,122.6,39,-127.74,-2.61,2,False,,0,0.0,Rotation,Full,True,,,,B
ROST,1,2023-08-21,2023-08-30,115.31,117.64,42,57.99,1.19,7,False,,0,2.75,Rotation,Full,True,,,,B
TJX,2,2023-08-17,2023-09-22,86.21,86.26,59,-37.15,-0.73,25,True,2023-08-30,0,5.09,ATR,Full,False,,,,B
GOOG,1,2023-08-30,2023-09-27,134.47,128.39,36,-258.88,-5.33,19,False,,0,2.52,ATR,Full,False,,,,B
XOM,1,2023-09-28,2023-10-05,110.17,100.82,44,-451.28,-9.27,5,False,,0,0.0,ATR,Full,False,,,,B
GD,2,2023-10-10,2023-10-11,228.51,225.0,20,-110.27,-2.4,1,False,,0,0.0,Rotation,Full,True,,,,B
CRWD,1,2023-10-09,2023-10-13,176.5,187.56,13,113.78,4.94,4,True,2023-10-11,0,6.64,Partial_50,Partial_50,False,,,,B
CDNS,2,2023-10-11,2023-10-25,250.32,237.04,18,-279.04,-6.17,10,False,,0,1.06,ATR,Full,False,,,,B
AIG,2,2023-11-03,2023-12-01,60.66,62.24,73,75.55,1.7,19,False,,0,2.83,Rotation,Full,True,,,,B
PSX,2,2023-12-01,2023-12-26,118.95,125.06,19,86.08,3.79,16,True,2023-12-20,0,4.51,Partial_50,Partial_50,False,,,,B
PSX,2,2023-12-01,2024-01-11,118.95,120.28,19,-4.67,-0.21,27,True,2023-12-20,0,5.64,ATR,Runner,False,2023-12-26,125.05541170979657,3.79,B
ISRG,2,2024-01-11,2024-02-05,364.45,384.47,6,90.12,4.1,16,True,2024-01-24,0,5.32,Partial_50,Partial_50,False,,,,B
CRWD,1,2023-10-09,2024-02-22,176.5,304.93,13,1639.59,71.15,93,True,2023-10-11,0,89.55,ATR,Runner,False,2023-10-13,187.55999755859375,4.94,B
CTRA,1,2024-02-22,2024-02-23,23.96,24.43,226,64.91,1.19,1,False,,0,2.01,Rotation,Full,True,,,,B
AVGO,1,2024-02-23,2024-03-12,127.67,127.54,42,-45.61,-0.85,12,True,2024-03-01,0,7.54,ATR,Full,False,,,,B
XLB,1,2024-03-12,2024-03-15,43.31,43.22,125,-50.79,-0.93,3,False,,0,0.99,Rotation,Full,True,,,,B
MSFT,1,2024-03-15,2024-03-18,412.95,407.99,13,-104.53,-1.94,1,False,,0,0.0,Rotation,Full,True,,,,B
PSX,1,2024-03-18,2024-04-05,148.62,161.18,18,196.05,7.3,13,True,2024-04-02,0,8.34,Partial_50,Partial_50,False,,,,B
ISRG,2,2024-01-11,2024-04-16,364.45,376.63,6,43.08,1.96,65,True,2024-01-24,0,9.92,ATR,Runner,False,2024-02-05,384.4700012207031,4.1,B
PSX,1,2024-03-18,2024-04-16,148.62,149.93,18,-6.51,-0.24,20,True,2024-04-02,0,8.34,ATR,Runner,False,2024-04-05,161.18273987826151,7.3,B
ELV,1,2024-04-19,2024-04-25,514.15,516.34,10,-18.09,-0.35,4,False,,0,0.2,Rotation,Full,True,,,,B
AXP,2,2024-04-22,2024-06-10,227.06,226.98,24,-41.88,-0.77,34,True,2024-05-10,0,4.76,ATR,Full,False,,,,B
AAPL,2,2024-06-12,2024-06-17,205.78,211.73,13,47.4,1.77,3,True,2024-06-12,0,3.31,Partial_50,Partial_50,False,,,,B
BSX,1,2024-04-25,2024-07-19,73.13,76.9,74,238.98,4.4,58,True,2024-05-20,0,6.85,ATR,Full,False,,,,B
ALL,1,2024-07-19,2024-07-22,171.64,169.67,32,-103.11,-1.87,1,False,,0,0.0,Rotation,Full,True,,,,B
AAPL,2,2024-06-12,2024-07-25,205.78,217.25,13,119.13,4.44,29,True,2024-06-12,0,13.24,ATR,Runner,False,2024-06-17,211.73243423482455,1.77,B
ISRG,1,2024-07-22,2024-07-26,462.33,438.6,11,-301.03,-5.9,4,False,,0,0.0,ATR,Full,False,,,,B
RTX,1,2024-07-26,2024-08-21,110.32,115.33,24,90.42,3.4,18,True,2024-08-15,0,4.41,Partial_50,Partial_50,False,,,,B
ABBV,2,2024-07-26,2024-08-21,173.01,185.26,15,154.08,5.92,18,True,2024-08-02,0,7.32,Partial_50,Partial_50,False,,,,B
RTX,1,2024-07-26,2024-09-09,110.32,116.44,25,122.76,4.43,30,True,2024-08-15,0,8.81,ATR,Runner,False,2024-08-21,115.33179195839969,3.4,B
T,1,2024-09-09,2024-09-12,19.37,19.72,145,19.59,0.69,3,True,2024-09-09,0,3.58,Partial_50,Partial_50,False,,,,B
ABBV,2,2024-07-26,2024-10-18,173.01,179.64,16,75.74,2.73,59,True,2024-08-02,0,8.67,ATR,Runner,False,2024-08-21,185.25985225963748,5.92,B
TRV,2,2024-10-18,2024-10-23,262.77,252.71,21,-251.17,-4.54,3,False,,0,0.0,Rotation,Full,True,,,,B
PM,2,2024-10-23,2024-11-07,123.07,119.8,45,-186.99,-3.36,11,False,,0,2.17,ATR,Full,False,,,,B
ORCL,2,2024-11-07,2024-11-12,178.2,185.54,15,80.12,2.99,3,True,2024-11-08,0,4.51,Partial_50,Partial_50,False,,,,B
ORCL,2,2024-11-07,2024-12-11,178.2,175.17,15,-75.47,-2.81,23,True,2024-11-08,0,6.27,ATR,Runner,False,2024-11-12,185.54297538099775,2.99,B
T,1,2024-09-09,2024-12-19,19.37,21.07,145,216.49,7.68,72,True,2024-09-09,0,15.39,ATR,Runner,False,2024-09-12,19.71672828416168,0.69,B
BLK,2,2024-12-12,2024-12-19,1040.94,1013.97,5,-174.82,-3.35,5,False,,0,0.0,ATR,Full,False,,,,B
EBAY,2,2025-01-10,2025-01-15,67.45,63.64,81,-348.52,-6.36,3,False,,0,0.0,ATR,Full,False,,,,B
ISRG,2,2025-01-16,2025-01-24,582.6,581.9,4,-31.69,-1.35,5,True,2025-01-22,0,4.78,Partial_50,Partial_50,False,,,,B
RL,1,2025-01-07,2025-01-27,240.06,247.68,11,53.85,2.03,12,True,2025-01-23,0,5.23,Partial_50,Partial_50,False,,,,B
ISRG,2,2025-01-16,2025-02-26,582.6,570.85,5,-89.86,-3.07,27,True,2025-01-22,0,4.78,ATR,Runner,False,2025-01-24,581.9000244140625,-1.35,B
PXD,2,2025-02-26,2025-03-03,52.04,52.07,101,-37.17,-0.7,3,False,,0,0.14,Rotation,Full,True,,,,B
RL,1,2025-01-07,2025-03-05,240.06,249.47,11,73.56,2.78,38,True,2025-01-23,0,17.63,ATR,Runner,False,2025-01-27,247.6807264947604,2.03,B
EWL,1,2025-03-05,2025-03-06,51.9,51.5,101,-80.64,-1.53,1,False,,0,0.0,Rotation,Full,True,,,,B
V,2,2025-03-03,2025-03-07,360.3,338.34,14,-347.52,-6.86,4,False,,0,0.0,ATR,Full,False,,,,B
FAST,2,2025-03-07,2025-03-14,37.93,36.43,129,-232.68,-4.74,5,True,2025-03-10,0,3.27,ATR,Full,False,,,,B
EWG,1,2025-03-06,2025-04-01,38.01,36.62,138,-231.4,-4.39,18,False,,0,1.73,ATR,Full,False,,,,B
GLD,2,2025-03-14,2025-04-07,276.27,278.86,16,1.44,0.03,16,True,2025-03-28,0,4.3,ATR,Full,False,,,,B
TLT,2,2025-04-07,2025-04-09,87.89,83.48,55,-282.54,-5.82,2,False,,0,0.0,ATR,Full,False,,,,B
EXC,1,2025-04-01,2025-04-10,44.19,42.81,109,-190.51,-3.94,7,True,2025-04-03,0,3.21,ATR,Full,False,,,,B
GLD,1,2025-04-11,2025-04-21,297.96,315.02,7,90.09,4.3,5,True,2025-04-16,0,3.19,Partial_50,Partial_50,False,,,,B
GLD,1,2025-04-11,2025-05-15,297.96,294.1,8,-61.55,-2.57,23,True,2025-04-16,0,5.92,ATR,Runner,False,2025-04-21,315.0199890136719,4.3,B
HYG,2,2025-05-13,2025-05-21,75.28,74.99,61,-57.35,-1.24,6,False,,0,0.11,Rotation,Full,True,,,,B
D,2,2025-05-21,2025-06-02,55.12,54.52,83,-89.83,-1.95,7,False,,0,0.0,Rotation,Full,True,,,,B
CME,2,2025-06-02,2025-06-05,277.48,267.64,16,-197.49,-4.43,3,False,,0,0.91,ATR,Full,False,,,,B
EWY,2,2025-06-05,2025-06-26,63.89,70.14,33,176.39,8.33,14,True,2025-06-12,0,11.2,Partial_50,Partial_50,False,,,,B
MNST,1,2025-05-19,2025-07-10,62.85,59.57,73,-279.44,-6.06,35,False,,0,2.21,ATR,Full,False,,,,B
SLV,1,2025-07-14,2025-07-28,35.22,34.65,125,-111.25,-2.52,10,False,,0,1.42,Rotation,Full,True,,,,B
EWY,2,2025-06-05,2025-08-04,63.89,70.79,34,204.29,9.36,40,True,2025-06-12,0,13.07,ATR,Runner,False,2025-06-26,70.14452698365855,8.33,B
NEM,1,2025-07-28,2025-08-28,64.29,71.85,33,219.54,10.3,23,True,2025-08-07,0,11.74,Partial_50,Partial_50,False,,,,B
NEM,1,2025-07-28,2025-10-22,64.29,82.68,34,595.25,27.11,61,True,2025-08-07,0,52.11,ATR,Runner,False,2025-08-28,71.84525563110252,10.3,B
K,1,2025-10-22,2025-10-27,70.38,68.82,68,-145.96,-3.04,3,False,,0,0.0,Rotation,Full,True,,,,B
GD,1,2025-10-27,2025-10-29,350.71,342.27,13,-149.8,-3.27,2,False,,0,0.0,Rotation,Full,True,,,,B
MPWR,2,2025-08-04,2025-11-05,787.12,957.5,5,811.92,20.53,66,True,2025-08-13,0,39.87,ATR,Full,False,,,,B
CTRA,2,2025-11-05,2025-11-06,25.4,25.6,201,1.55,0.03,1,False,,0,0.0,Rotation,Full,True,,,,B
NVDA,1,2025-10-29,2025-11-07,207.96,184.88,22,-547.7,-11.92,7,False,,0,0.0,ATR,Full,False,,,,B
AMGN,2,2025-11-06,2025-11-13,314.66,333.2,8,118.31,4.68,5,True,2025-11-11,0,6.06,Partial_50,Partial_50,False,,,,B
MAR,1,2025-11-10,2025-11-18,290.87,282.01,15,-172.93,-3.95,6,False,,0,0.0,Rotation,Full,True,,,,B
JNJ,1,2025-11-18,2025-12-01,196.71,205.41,12,74.39,3.14,8,True,2025-11-21,0,4.96,Partial_50,Partial_50,False,,,,B
AMGN,2,2025-11-06,2025-12-10,314.66,314.07,8,-34.69,-1.37,23,True,2025-11-11,0,9.03,ATR,Runner,False,2025-11-13,333.19826334408884,4.68,B
EWL,2,2025-12-11,2025-12-16,58.47,59.29,82,27.24,0.57,3,False,,0,1.01,Rotation,Full,True,,,,B
HOLX,2,2025-12-16,2025-12-19,75.06,75.0,64,-43.84,-0.91,3,False,,0,0.0,Rotation,Full,True,,,,B
JNJ,1,2025-11-18,2026-01-06,196.71,203.52,12,51.71,2.18,32,True,2025-11-21,0,8.3,ATR,Runner,False,2025-12-01,205.40801990791223,3.14,B
FDX,2,2025-12-19,2026-01-08,270.96,305.04,8,243.24,11.17,12,True,2025-12-19,0,13.18,Partial_50,Partial_50,False,,,,B
AMAT,1,2026-01-06,2026-02-05,285.07,299.7,17,208.57,4.29,21,True,2026-01-09,0,19.59,ATR,Full,False,,,,B
UPS,1,2026-02-05,2026-02-06,114.4,114.7,44,-26.98,-0.53,1,False,,0,0.47,Rotation,Full,True,,,,B
TPR,1,2026-02-06,2026-02-11,145.04,156.12,17,158.37,6.4,3,True,2026-02-09,0,6.34,Partial_50,Partial_50,False,,,,B
FDX,2,2025-12-19,2026-03-09,270.96,351.61,9,695.25,28.39,52,True,2025-12-19,0,42.79,ATR,Runner,False,2026-01-08,305.04328050469,11.17,B
TPR,1,2026-02-06,2026-03-13,145.04,143.54,17,-55.52,-2.24,24,True,2026-02-09,0,10.36,ATR,Runner,False,2026-02-11,156.12143430519203,6.4,B
DVN,1,2026-03-13,2026-03-23,45.52,47.5,60,88.8,3.24,6,True,2026-03-19,0,7.18,Partial_50,Partial_50,False,,,,B
CVX,2,2026-03-13,2026-03-26,196.0,206.03,13,100.76,3.94,9,True,2026-03-20,0,5.51,Partial_50,Partial_50,False,,,,B
CVX,2,2026-03-13,2026-04-02,196.0,202.51,14,60.77,2.21,14,True,2026-03-20,0,7.73,ATR,Runner,False,2026-03-26,206.02999877929688,3.94,B
DVN,1,2026-03-13,2026-04-13,45.52,48.33,60,138.6,5.06,20,True,2026-03-19,0,14.39,ATR,Runner,False,2026-03-23,47.5,3.24,B
NEE,1,2026-04-24,2026-04-27,97.24,94.83,58,-179.78,-3.18,1,False,,0,0.0,End,Full,False,,,,B
